rise,down,freq,total_return,yearly_vol,maxdrawdown,sharpe,hold_time,start_date,end_date
0.06,-0.08,20.0,0.4732317975520773,0.43163806421399636,0.24996784241124598,5.4434927511224025,0.20140791476407913,2022-01-01,2022-07-31
0.06,-0.08,5.0,0.4708364301069278,0.4322415170364723,0.256067046033837,6.848865442962575,0.15904680365296803,2022-01-01,2022-07-31
0.11,-0.02,2.0,0.4707624065510481,0.42403626108879217,0.2607099851261994,6.5967015764797905,0.16829528158295282,2022-01-01,2022-07-31
0.03,-0.02,3.0,0.4688024393020987,0.5288726697706041,0.29757111817193777,2.9678845514038037,0.2986700913242009,2022-01-01,2022-07-31
0.06,-0.07,60.0,0.4674594539652031,0.44161865224878194,0.1894623574259975,5.006793309822229,0.21141552511415523,2022-01-01,2022-07-31
0.01,-0.08,240.0,0.4650164152419935,0.47505173097991343,0.24399890141558678,3.0934155138355264,0.31643835616438354,2022-01-01,2022-07-31
0.06,-0.01,2.0,0.4597697910614095,0.45802495127835685,0.25839802146684065,4.508111027618295,0.2226674277016743,2022-01-01,2022-07-31
0.07,-0.07,20.0,0.4591931317869039,0.4426284676750738,0.19050837762667877,4.90880213642007,0.2113394216133942,2022-01-01,2022-07-31
0.07,-0.07,2.0,0.4562458012397419,0.43395885190665057,0.2581879660023921,6.377303982492408,0.1648592085235921,2022-01-01,2022-07-31
0.07,-0.06,20.0,0.4560471988883546,0.43093673031891655,0.2727060702821492,5.769983922505538,0.18340943683409436,2022-01-01,2022-07-31
0.06,-0.09,5.0,0.4547404679461028,0.40783757588278696,0.2333796450113786,7.571654062187554,0.14726027397260272,2022-01-01,2022-07-31
0.11,-0.02,1440.0,0.4529538621493051,0.3613761734362649,0.08022271438852832,5.258574898462687,0.23835616438356164,2022-01-01,2022-07-31
0.11,-0.01,1440.0,0.4529538621493051,0.3613761734362649,0.08022271438852832,5.258574898462687,0.23835616438356164,2022-01-01,2022-07-31
0.05,-0.09,10.0,0.4499931892721802,0.39733717175184374,0.28106235656901,7.215196322411546,0.1569634703196347,2022-01-01,2022-07-31
0.05,-0.08,1.0,0.4496417656783673,0.4787342999411326,0.2651995377052133,3.5160679179291834,0.2671251902587519,2022-01-01,2022-07-31
0.02,-0.02,2.0,0.44869151110328404,0.5160184754252939,0.23450630789988303,2.9368631529029368,0.29607305936073064,2022-01-01,2022-07-31
0.06,-0.08,2.0,0.44761448175421903,0.43022581265089704,0.258187966002391,6.358792752856849,0.16361872146118722,2022-01-01,2022-07-31
0.06,-0.09,10.0,0.4437129547005138,0.3889471409566494,0.23262233069953508,8.297913904753901,0.13748097412480972,2022-01-01,2022-07-31
0.04,-0.01,20.0,0.4436765920744223,0.5011249956938107,0.2332073176527576,3.097349637413045,0.28584474885844746,2022-01-01,2022-07-31
0.01,-0.02,960.0,0.4413236909386005,0.4756453802491495,0.2208071207113085,3.0418767333436856,0.3050228310502283,2022-01-01,2022-07-31
0.07,-0.06,2.0,0.43938556389139977,0.4455819837940709,0.24106749104941397,5.449726840082571,0.18094368340943684,2022-01-01,2022-07-31
0.05,-0.09,25.0,0.4383211510166711,0.3848677622574994,0.28925904745285724,7.240391437373433,0.15729642313546424,2022-01-01,2022-07-31
0.07,-0.09,1.0,0.43815252880913785,0.4422277790874369,0.29009073988351525,4.914790451208525,0.20159246575342468,2022-01-01,2022-07-31
0.02,-0.07,240.0,0.43728448453883484,0.4732972900833737,0.2778138902549075,3.1080870700949697,0.29726027397260274,2022-01-01,2022-07-31
0.04,-0.01,10.0,0.43634739023650126,0.5111438355444594,0.2514974025393457,3.0376288838322374,0.281031202435312,2022-01-01,2022-07-31
