rise,down,freq,ma_window,total_return,yearly_vol,maxdrawdown,sharpe,max_loss_period,hold_time,start_date,end_date
0.05,-0.08,15.0,50,2.922449653624316,0.755743774957312,0.5819987410445826,1.881227118780031,0.6832477168949771,2.055565068493151,2020-01-01,2022-07-31
0.085,-0.095,15.0,100,2.913917797583674,1.0833802957754675,1.6669690589619721,1.3799558523099538,1.5591609589041096,1.9490867579908675,2020-01-01,2022-07-31
0.085,-0.09,30.0,0,2.905362560340704,1.3009506366021093,2.990413957794932,0.8929171355215273,1.559189497716895,2.5010844748858445,2020-01-01,2022-07-31
0.085,-0.1,30.0,100,2.904895443934889,1.049477994326988,1.6885245877277213,1.4100478104268706,1.559189497716895,1.963013698630137,2020-01-01,2022-07-31
0.055,-0.08,15.0,50,2.8975223710370903,0.7487259271521183,0.5819987410445826,1.8641582849780778,0.6516267123287671,2.075970319634703,2020-01-01,2022-07-31
0.09,-0.1,15.0,100,2.8930950974458045,1.0896983609806576,1.717417135294241,1.3591260804448464,1.5591609589041096,1.9534246575342464,2020-01-01,2022-07-31
0.06,-0.07,30.0,100,2.883956968802436,0.7393504507746879,0.718234769421209,2.176490215225636,0.6810502283105022,1.7921803652968036,2020-01-01,2022-07-31
0.05,-0.065,15.0,50,2.876084093843097,0.7273443447059126,0.6101286896826035,2.0001744929159258,0.6517123287671233,1.9769406392694062,2020-01-01,2022-07-31
0.05,-0.085,15.0,100,2.8713138279057913,0.8012155422126213,0.6561320594166596,2.1501814514125135,0.8673230593607306,1.666695205479452,2020-01-01,2022-07-31
0.045,-0.075,15.0,50,2.869951772722472,0.7549089248711643,0.6678641613393197,1.8822466426474287,0.6838184931506849,2.019777397260274,2020-01-01,2022-07-31
0.09,-0.085,30.0,50,2.8657473967021754,1.0347227009109572,1.242784375511175,1.2970607664105636,1.559189497716895,2.13527397260274,2020-01-01,2022-07-31
0.06,-0.08,30.0,50,2.860262109582829,0.8456759624274678,0.8068295170665563,1.6113254517262037,1.0356735159817352,2.099029680365297,2020-01-01,2022-07-31
0.06,-0.07,15.0,50,2.8565409225068557,0.7266601962533066,0.5239446281609388,1.9347447703636167,0.6483162100456621,2.031820776255708,2020-01-01,2022-07-31
0.05,-0.06,30.0,50,2.855797484825469,0.7006099085205991,0.5248127208026188,2.0752130938507105,0.49503424657534245,1.9642123287671232,2020-01-01,2022-07-31
0.05,-0.075,15.0,100,2.8521733909058815,0.7185513993653146,0.6197392560207701,2.413381761938476,0.6851883561643836,1.644720319634703,2020-01-01,2022-07-31
